promo;;Code;Cours;TD;;;;Libellé;Description;Objectifs;Ouvert aux étudiants en échange;Pré-requis obligatoires;Contrôle des connaissances;Syllabus / Méthodes Pédagogiques;Compétences Visées;Compétences Requises;Bibliographie;mots clés;Langues d'enseignement;
IBI;Cours obligatoire;M2-INF : Pervasive computing with AI;30;0;Carine, Irina;;;;;;yes;;CC;;;;;;english;
SBI;Cours obligatoire;M2-INF : Pervasive computing to Pervasive IS;30;0;Carine, Irina;;;;;;yes;;CC;;;;;;english;
SBI;Cours optionnel;M2-INF : Software Factories;30;0;Camille;;;Software factories;"This course explores the principles, methods, and technologies behind Software Product Lines (SPLs), a key paradigm for sustainable software engineering. Software factories—automated environments for producing software variants based on a shared set of assets—represent a strategic approach to industrialize software development, promote systematic reuse, and improve long-term software quality. Through SPLs, organizations can reduce redundancy, ensure consistency across products, and lower maintenance costs.
In the context of sustainable digital systems, SPLs offer a powerful response to the challenges of scalability, adaptability, and resource optimization. Most importantly, they provide a structural foundation to limit and actively manage technical debt—by favoring modularity, standardization, and traceability in software development processes. This course combines theoretical concepts with practical application through modeling, variability management, architecture design, and automated code generation.";By the end of the course, students will understand how -owing to their specific economic model, software product lines contribute to sustainability and efficiency in information systems engineering. They will be able to identify reusable software assets, model product variability using appropriate techniques (e.g., feature modeling, decision modeling), and design modular architectures suitable for automated production environments. Students will also gain the ability to evaluate the impact of reuse strategies on software lifecycle costs, technical debt reduction, and long-term system maintainability. Emphasis will be placed on aligning SPL engineering practices with sustainable digital practices, including energy efficiency, lifecycle management, and reduction of redundant development efforts.;yes;"Advanced Software Engineering lifecycles, methodes and tools
Conceptual Modelling
Notions of integer linear programming or constraints programming";CC;"The lecture covers the following topics : 
(1) Introduction to Software Product Lines (SPLs)
(2) Principles of Variability and Commonality
(3) Economic and Organizational Models of SPLs
(4) Application Engineering
(5) Domain Engineering
(6) Tools and Platforms for Software Factories
(7) Technical Debt and Sustainable Software Development
Practical application will be explored thourgh case studies,  industry-like exercices, tool manipulations, and a capstone project.";;"Solve problems to develop new knowledge and procedures and integrate knowledge from different domains
Manage a project involving multidisciplinary skills in a collaborative environment
Technically model an enterprise application using standard methods and tools: architecture, human-system interface, data management systems, components";"Pohl, K., Böckle, G., & van der Linden, F. (2005). Software Product Line Engineering: Foundations, Principles and Techniques. Springer.
Clements, P., & Northrop, L. (2001). Software Product Lines: Practices and Patterns. Addison-Wesley.
Gomaa, H. (2004). Designing Software Product Lines with UML: From Use Cases to Pattern-Based Software Architectures. Addison-Wesley.";Software Engineering, Software Product Lines, Reuse, Variability, Domain Engineering, Configuration;english;
IBI;Cours obligatoire;M2-INF;30;0;Nourhène;;;Machine Learning : Fundamentals;This course aims to provide a deep understanding of the fundamental concepts of Machine Learning, as well as the associated techniques and algorithms for analyzing large datasets. Students will learn to apply these methods to real-world projects and evaluate model performance.;"After completing the course, the student will be able to:  
- Use Machine Learning techniques to analyze large datasets.  
- Master the fundamental concepts, techniques, and algorithms in the field of Machine Learning.  
- Represent datasets in a manner suitable for Machine Learning algorithms.  
- Evaluate the performance of different Machine Learning algorithms.";yes;Python for Data analysis ;CC;"The course covers the following topics:
1) Machine Learning pipeline and key challenges (bias, overfitting, underfitting, interpretability).
2) Data preparation and representation:
o	Handling missing values, normalization, and transformation of categorical variables.
o	Data exploration.
3) Supervised learning (classification and regression):
o	Principles.
o	Algorithms: Decision Trees, Linear Regression, Logistic Regression, KNN.
o	Performance evaluation.
4) Unsupervised learning (clustering):
o	Principles.
o	Algorithms: K-means, DBSCAN.
o	Performance evaluation.
5) Ensemble models:
o	Principles.
o	Bagging.
o	Boosting.
o	Performance evaluation.";"Apply mathematical concepts to configure and integrate an Artificial Intelligence component/service into a software application.
Model reasoning using various types of logic (first-order logic, propositional logic, description logic, ...)";;Géron, Aurélien. Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems. États-Unis, O'Reilly Media, 2019.;"Machine Learning, Algorithms, 
Classification, Regression,
 Clustering, Data Science,  
Supervised Learning, 
Unsupervised Learning, 
Ensemble Models, Bias.";english;
SBI;Cours obligatoire;M2-INF : Blockchain for good;30;0;Nicolas, Irina;;;;;;yes;;CC;;;;;;english;
IBI/SBI;Cours obligatoire;M2-REC : Research Methods;30;0;Irina, Camille, Nicolas;;parler du scrapping et des données FAIR, LLM;;This class aims to provide hands-on on implementing specific research methodologies in order to address various research problems that will be formulated by the students for their end-of study M2 reesearch project. ;"After completing the class, the student will be ble to:
- Formulate and justify the interest and originality of his/her research question
- Justify the research strategy and select a specific research methodology to address the formulated RQ
- Elaboprate the specific research protocol and reason about its feasibility  (time, resources)
- Discuss the potential threats of validity and propose a validation strategy
Considering the specific researchers' skills, the students will learn how:
- to collect data for qualitative and quantitative studies via interviews, surveys, data scrapping or by using open research resources
- to process qualitative data using AI or manual protocols
- to process  quantitative data using statistical analysis, descriptive and inferential statistics, multifactorial analysis, classification techniques etc
- to communicate the research via scientific publications";yes;;CC;;;;;;english;
IBI/SBI;Cours obligatoire;M2-ISI : Requirements engineering;30;0;Camille, Irina;;;Requirements Engineering;"This course provides a structured and comprehensive introduction to Requirements Engineering (RE), focusing on the principles, techniques, and best practices for capturing, documenting, analyzing, validating, and managing software requirements. It emphasizes the central role of RE in ensuring the quality, alignment, and long-term sustainability of information systems.
Building on a solid foundation of classical RE techniques—such as elicitation methods, requirements modeling, documentation standards, and change management—the course progressively expands toward advanced topics that reflect the evolving challenges of contemporary software engineering. Special attention is given to the engineering of requirements for software systems that incorporate Artificial Intelligence, where uncertainty, non-determinism, adaptivity, and explainability raise specific challenges. Students will explore how to specify quality requirements for AI components, define trustworthiness criteria, and support certification processes for intelligent and self-adaptive systems.
The course will also explore the use of AI to support RE activities themselves, including automated requirements classification, traceability analysis, and prioritization techniques enhanced by natural language processing and machine learning tools.
Finally, the course will integrate the perspective of sustainable software design, encouraging students to consider the environmental, ethical, and social implications of requirements decisions. They will learn to formulate requirements that support accessibility, reduce technical debt, improve maintainability, and contribute to energy-efficient, responsible digital systems.";At the end of the course, students shall be able to systematically identify, analyze, document, and manage software requirements to ensure system quality, stakeholder alignment, and long-term sustainability. They will develop the skills to address both classical and advanced challenges in Requirements Engineering, including those specific to AI-based systems and self-adaptive architectures. Students will also learn to integrate responsible and sustainable design principles into the requirements process, and to leverage AI tools to support RE activities such as elicitation, prioritization, and traceability.;yes;"Good knowledge of software development processes and system lifecycle models (e.g., waterfall, V, cycle, agile).
Familiarity with object-oriented modeling concepts, particularly UML diagrams (use cases, class diagrams, etc.).
General understanding of conceptual modelling (UML, SYSML), software architecture (TOGAF) and system design principles.
Introductory knowledge of Artificial Intelligence concepts is recommended but not mandatory.";CC;"The lecture will adress the following topics :
(1) Introduction to Requirements Engineering
(2) Requirements Elicitation Techniques
(3) Requirements Documentation and requirements modeling
(4) Validation, Negotiation and Requirements Management
(5) Requirements Engineering for AI Systems
(6) AI-Supported Requirements Engineering
(7) Sustainable Software Requirements

The course combines theoretical lectures with active learning methods. Students engage in in-class exercises to practice elicitation and specification techniques, and work on practical case studies inspired by real-world AI and sustainable system projects. Group activities and role-playing simulations are used to train negotiation and stakeholder interaction skills. Applied research tasks and guided readings encourage students to critically explore emerging trends in requirements engineering and apply them to complex, multidisciplinary contexts.";"Ability to structure and manage the requirements engineering process across the lifecycle of a digital project, ensuring completeness, traceability, and stakeholder alignment.
Capacity to translate business needs into formal, clear, and testable specifications, using appropriate modeling techniques and documentation standards.
Skills to analyze complex system contexts, facilitate stakeholder communication, and propose responsible, sustainable, and value-driven design choices aligned with organizational goals.";"Mastering of software development life cycles and basic project management methods, including familiarity with traditional and agile models.
Ability to interpret and produce standard modeling artifacts, such as E/R or UML diagrams or user stories.
Good general knowledge of system architecture and fundamentals of software quality, including performance, reliability, and maintainability criteria.";"Pohl, K. (2010). Requirements Engineering – Fundamentals, Principles, and Techniques. Springer.
Gupta, V., Gupta, C (2021) Research and Evidence in Software Engineering. CRC Press
Calero, C.,  Piatini, M. (2015)  Green in software engineering. Springer";Requirements elicitation, requirements modeling, traceability, AI-based systems, sustainable software design, stakeholder analysis, requirements management.;english;
IBI;Cours obligatoire;M2-ISI: AI-assisted Software Engineering;30;0;Camille;;;AI-assisted Software Engineering;"These objectives aim to prepare students for professional roles where AI-augmented engineering becomes a strategic component of modern software development. It fosters competencies required in roles such as software engineer, DevOps engineer, requirements analyst, and project manager in AI-intensive development environments.
The course shall explore the integration of Artificial Intelligence into software engineering practices. It will address how AI techniques—particularly natural language processing (NLP), machine learning (ML), and large language models (LLMs)—can enhance different phases of the software development lifecycle, from requirements engineering to testing and maintenance. Students will investigate how AI tools support developers, project managers, and analysts in increasing productivity, improving software quality, and reducing repetitive tasks. The course combines theoretical foundations with hands-on experience through in-class practical case studies.";"At the end of this course, students shall be able to :
- identify the areas of software engineering that can benefit from AI assistance and select appropriate tools and techniques.
- critically assess the capabilities and limitations of AI-powered tools across various phases of the software development lifecycle.
- integrate AI tools into real-world software engineering workflows, with attention to quality, traceability, and ethical concerns.
";yes;"Basic knowledge of software engineering processes and tools (version control, testing, continuous integration).
Familiarity with software development lifecycle models (agile, DevOps, V-model).
Good understanding and ability to use of Artificial Intelligence concepts and techniques (supervised learning, NLP, LLMs).";CC;"(1) Introduction to AI-Assisted Software Engineering
(2) AI in Requirements Engineering and Analysis
(3) AI in Design, Development, and Code Generation
(4) AI for Testing and Quality Assurance
(5) Ethics, Limitations, and Human-AI Collaboration in SE
The course is based on interactive, case-based learning. Each session will include practical case studies implemented in class, where students will be required to experiment with AI-powered tools (e.g., GitHub Copilot, ChatGPT, test automation assistants). Realistic scenarios will be used to simulate software engineering tasks and to reflect on tool performance, collaboration dynamics, and decision-making. Students work in pairs or small groups, fostering peer learning and critical discussion.
";"Solve problems to develop new knowledge and procedures and integrate knowledge from different domains.
Identify, use, and evaluate software management tools (performance analysis, testing, CI/CD pipelines, etc.).
Manage a project involving multidisciplinary skills in a collaborative environment.";"Software development lifecycle knowledge and practical experience with standard engineering workflows.
Understanding of software quality attributes and software project planning.
Basic programming skills and familiarity with software development environments.
";;AI-assisted development, code generation, requirements analysis, software testing, human-AI collaboration;english;
IBI/SBI;Cours obligatoire;M2-ISI : Knowledge Engineering and Management;30;0;Nicolas, Irina, Abdelkrim;;SECI, Ontology;;;;yes;;CC;;;;;;english;
IBI/SBI;Cours optionnel;M2-ISI : IS Security;30;0;Carine;Fabrice ? Corinne ?;;;;;yes;;CC;;;;;;english;
